
********************************************************************************
Slippage report report produced on 10/05/2023 22:35 from 02/09/2022 22:35 to 10/05/2023 22:35
********************************************************************************


Slippage calculations: First three columns are slippage (mid to executed price) from 3 sources:
- bid_ask_trades: The difference between the mid price and bid/ask price when a trade is entered
- total_trades: The difference between the mid price and actual fill price when a trade occurs
- bid_ask_sampled: The difference between mid and bid/ask when a regular sample is taken, not when trading

The following three columns show how our estimate of slippage is calculated using weights
- weight_trades: Weighting given to trades (most conservative of bid_ask_trades and total_trades)
- weight_samples: Weighting given to samples
- weight_config: Weighting given to current configured value

The weights vary depending on how many trades and samples we have

Finally we have:
- The estimate based on the calculations above
- The current configured value
- The % difference between these values (estimate and configured). Positive means the estimate is higher (costs not conservative enough)

==============================================================================================================================================
                                                      Check of slippage, in price units                                                       
==============================================================================================================================================

                 bid_ask_trades  total_trades  bid_ask_sampled  weight_trades  weight_samples  weight_config  estimate  Configured  Difference
PLAT_fsb                    NaN           NaN           1.2500            0.0            0.85           0.15    1.2500      1.2500         0.0
CORN                        NaN           NaN              NaN            0.0            0.00           1.00    0.1600      0.1600         0.0
WHEAT_fsb                   NaN           NaN           0.5000            0.0            0.74           0.26    0.5000      0.5000         0.0
ROBUSTA_fsb                 NaN           NaN           2.0000            0.0            0.33           0.67    2.0000      2.0000         0.0
US10                        NaN           NaN              NaN            0.0            0.00           1.00    0.0080      0.0080         0.0
GASOLINE_fsb                NaN           NaN          15.0000            0.0            0.89           0.11   15.0000     15.0000         0.0
GBP_fsb                     NaN           NaN           5.2500            0.0            0.93           0.07    5.2500      5.2500         0.0
CRUDE_W_fsb                 NaN           NaN           3.0000            0.0            0.91           0.09    3.0000      3.0000         0.0
BUND_fsb                    NaN           NaN           1.5000            0.0            0.81           0.19    1.5000      1.5000         0.0
ASX_fsb                     NaN           NaN           2.0000            0.0            0.86           0.14    2.0000      2.0000         0.0
EUROSTX_fsb                 NaN           NaN           1.0000            0.0            0.72           0.28    1.0000      1.0000         0.0
NASDAQ_fsb                  NaN           NaN           1.5000            0.0            0.93           0.07    1.5000      1.5000         0.0
JPY_fsb                     NaN           NaN           5.0000            0.0            0.93           0.07    5.0000      5.0000         0.0
COPPER_fsb                  NaN           NaN          20.0000            0.0            0.92           0.08   20.0000     20.0000         0.0
