
********************************************************************************
Costs report produced on 30/06/2023 22:34 from 23/10/2022 22:34 to 30/06/2023 22:34
********************************************************************************


Cost calculations: Costs shown are expected costs per trade in Sharpe Ratio (SR) units and are calculated as follows: percentage_cost /  avg_annual_vol_perc 

********************************************************************************
                 Costs *including* BOTH spreads and commissions                 
********************************************************************************



==============================================================
               SR costs (using stored slippage)               
==============================================================

                 percentage_cost  avg_annual_vol_perc  SR_cost
SOYBEAN_fsb              0.00071              0.25121  0.00567
FTSE100_fsb              0.00028              0.10277  0.00545
LEANHOG_fsb              0.00069              0.25980  0.00533
SOYMEAL_fsb              0.00096              0.36411  0.00530
SILVER_fsb               0.00068              0.25569  0.00529
CORN_fsb                 0.00093              0.37078  0.00504
COPPER_fsb               0.00053              0.21201  0.00500
SMI_fsb                  0.00027              0.11169  0.00492
US10_fsb                 0.00017              0.07070  0.00489
ASX_fsb                  0.00028              0.12450  0.00458
CAC_fsb                  0.00030              0.13201  0.00452
SOYOIL_fsb               0.00085              0.39287  0.00432
BTP_fsb                  0.00023              0.10830  0.00420
OAT_fsb                  0.00020              0.09560  0.00409
EUROSTX_fsb              0.00025              0.12994  0.00392
GASOLINE_fsb             0.00062              0.33315  0.00373
US5_fsb                  0.00009              0.05174  0.00351
DAX_fsb                  0.00021              0.12768  0.00329
HANG_fsb                 0.00041              0.25106  0.00328
GASOIL_fsb               0.00063              0.43501  0.00289
GILT_fsb                 0.00018              0.12767  0.00276
EUA_fsb                  0.00050              0.36431  0.00275
WHEAT_fsb                0.00064              0.47157  0.00270
GOLD_fsb                 0.00016              0.11822  0.00269
NIKKEI_fsb               0.00023              0.17393  0.00262
HEATOIL_fsb              0.00055              0.42105  0.00262
US30_fsb                 0.00015              0.12107  0.00252
BUND_fsb                 0.00011              0.09354  0.00233
AEX_fsb                  0.00014              0.12234  0.00228
GAS_US_fsb               0.00091              0.80218  0.00228
OMXS30_fsb               0.00017              0.14803  0.00226
SP500_fsb                0.00012              0.12043  0.00202
BRENT_W_fsb              0.00036              0.36192  0.00199
DOW_fsb                  0.00011              0.11382  0.00189
US30U_fsb                0.00014              0.15452  0.00183
CRUDE_W_fsb              0.00037              0.40738  0.00181
BUXL_fsb                 0.00016              0.19889  0.00156
RUSSELL_fsb              0.00013              0.19527  0.00138
NASDAQ_fsb               0.00012              0.17124  0.00137
EURIBOR-ICE_fsb          0.00000              0.00450  0.00000

* indicates currently held position

********************************************************************************
                                 END OF REPORT                                  
********************************************************************************


